Year,Price
1975,540.00
1976,432.00
1977,486.00
1978,685.00
1979,937.00
1980,1330.00
1981,1800.00
1982,1645.00
1983,1645.00
1984,1970.00
1985,2130.00
1986,2140.00
1987,2570.00
1988,3130.00
1989,3140.00
1990,3200.00
1991,3466.00
1992,4334.00
1993,4140.00
1994,4598.00
1995,4680.00
1996,5160.00
1997,4725.00
1998,4045.00
1999,4234.00
2000,4400.00
2001,4300.00
2002,4990.00
2003,5600.00
2004,5850.00
2005,7000.00
2006,8400.00
2007,10800.00
2008,12500.00
2009,14500.00
2010,18500.00
2011,26400.00
2012,31050.00
2013,29600.00
2014,28006.50
2015,26343.50
2016,28623.50
2017,29667.50
2018,31438.00
2019,35220.00
2020,48651.00
